EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2006;1703;D.G. Investig., Innovación y Desarrollo;Dirección General de Investigación, Innovación y Desarrollo
2006;17030;D.G. Investig., Innovación y Desarrollo;Dirección General de Investigación, Innovación y Desarrollo
2006;1704;D.G. Tecnolog. para Sociedad de Inform.;Dirección General de Tecnologías para Sociedad de la Información
2006;17040;D.G. Tecnolog. para Sociedad de Inform.;Dirección General de Tecnologías para Sociedad de la Información
2006;18;Educación, Cultura y Deporte;Educación, Cultura y Deporte
2006;1800;Ingresos de Educación, Cultura y Deporte;Ingresos de Educación, Cultura y Deporte
2006;18000;Ingresos de Educación, Cultura y Deporte;Ingresos de Educación, Cultura y Deporte
2006;1801;S.G.T. de Educación, Cultura y Deporte;Secretaría General Técnica de Educación, Cultura y Deporte
2006;18010;S.G.T. de Educación, Cultura y Deporte;Secretaría General Técnica de Educación, Cultura y Deporte
2006;1802;D.G. de F.P. y Educación Permanente;Dirección General de Formación Profesional y Educación Permanente
